tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2025-02-01 00:02:28,239,9.35,1.99
2025-02-01 00:02:28,79,20.5,4.5
2025-02-01 00:02:28,87,26.59,5.12
2025-02-01 00:02:28,161,18.67,2.81
2025-02-01 00:02:30,79,12.1,1.9
2025-02-01 00:02:30,79,21.9,4.7
2025-02-01 00:02:30,79,21.9,4.71
2025-02-01 00:02:31,234,9.13,1.09
2025-02-01 00:02:31,233,20.97,5.2
2025-02-01 00:02:32,236,54.1,14.3
2025-02-01 00:02:33,79,11.75,1.5
2025-02-01 00:02:33,114,26.54,5.7
2025-02-01 00:02:33,113,27.83,6.24
2025-02-01 00:02:34,144,17.0,2.95
2025-02-01 00:02:35,114,31.93,5.21
2025-02-01 00:02:35,68,17.7,3.0
2025-02-01 00:02:36,79,22.61,3.4
2025-02-01 00:02:37,163,12.1,2.1
2025-02-01 00:02:38,209,27.55,5.8
2025-02-01 00:02:38,234,12.8,1.75
2025-02-01 00:02:39,68,23.3,3.88
2025-02-01 00:02:39,234,8.75,0.8
2025-02-01 00:02:39,114,14.17,2.04
2025-02-01 00:02:40,229,16.7,2.97
2025-02-01 00:02:40,148,10.0,1.37
2025-02-01 00:02:40,234,30.3,5.01
2025-02-01 00:02:40,152,23.81,6.41
2025-02-01 00:02:41,170,11.4,1.75
2025-02-01 00:02:41,255,35.13,8.6
2025-02-01 00:02:41,87,12.8,1.78
2025-02-01 00:02:42,66,15.09,1.72
2025-02-01 00:02:43,138,108.0,29.92
2025-02-01 00:02:43,158,24.34,4.09
2025-02-01 00:02:43,68,17.0,3.04
2025-02-01 00:02:44,161,7.9,1.0
2025-02-01 00:02:45,161,9.3,1.24
2025-02-01 00:02:45,4,12.63,1.41
2025-02-01 00:02:45,74,7.2,0.96
2025-02-01 00:02:46,68,11.79,1.94
2025-02-01 00:02:48,211,9.77,1.1
2025-02-01 00:02:49,164,9.3,1.1
2025-02-01 00:02:50,148,17.0,3.4
2025-02-01 00:02:51,144,20.5,3.8
2025-02-01 00:02:52,113,19.8,4.19
2025-02-01 00:02:52,79,5.1,0.45
2025-02-01 00:02:53,164,13.39,1.93
2025-02-01 00:02:54,137,14.56,3.45
2025-02-01 00:02:54,79,12.1,0.8
2025-02-01 00:02:54,249,7.12,0.75
2025-02-01 00:02:54,229,30.3,6.5
2025-02-01 00:02:54,144,10.7,1.05
2025-02-01 00:02:56,137,14.2,3.22
2025-02-01 00:02:56,249,12.59,1.74
2025-02-01 00:02:57,41,24.0,4.05
2025-02-01 00:02:57,80,14.01,2.79
2025-02-01 00:02:58,148,27.39,4.5
2025-02-01 00:02:58,249,15.6,2.32
2025-02-01 00:02:58,75,17.57,3.41
2025-02-01 00:02:58,236,7.9,1.32
2025-02-01 00:02:58,144,10.74,1.1
2025-02-01 00:02:59,90,7.9,0.9
2025-02-01 00:02:59,230,5.1,0.4
2025-02-01 00:02:59,231,29.71,7.25
2025-02-01 00:03:00,209,14.99,2.21
2025-02-01 00:03:00,237,19.85,3.11
2025-02-01 00:03:00,45,45.31,12.45
2025-02-01 00:03:01,249,13.5,1.6
2025-02-01 00:03:01,113,14.2,2.88
2025-02-01 00:03:01,142,7.9,1.2
2025-02-01 00:03:02,170,19.89,4.25
2025-02-01 00:03:02,79,12.8,1.25
2025-02-01 00:03:03,234,10.0,0.96
2025-02-01 00:03:03,79,5.1,0.5
2025-02-01 00:03:04,211,8.13,0.82
2025-02-01 00:03:04,142,6.5,0.98
2025-02-01 00:03:05,237,7.9,1.27
2025-02-01 00:03:05,113,10.0,1.21
2025-02-01 00:03:05,140,7.2,1.2
2025-02-01 00:03:07,132,87.0,21.78
2025-02-01 00:03:07,114,15.92,1.95
2025-02-01 00:03:08,68,17.15,2.91
2025-02-01 00:03:08,163,5.1,0.5
2025-02-01 00:03:09,186,9.3,1.76
2025-02-01 00:03:09,132,3.7,0.22
2025-02-01 00:03:09,230,9.3,1.16
2025-02-01 00:03:10,114,15.86,1.11
2025-02-01 00:03:10,113,33.32,7.61
2025-02-01 00:03:11,249,5.1,0.69
2025-02-01 00:03:11,234,21.38,3.56
2025-02-01 00:03:12,68,5.1,0.48
2025-02-01 00:03:12,164,14.2,1.7
2025-02-01 00:03:13,238,33.1,7.26
2025-02-01 00:03:13,249,24.7,3.9
2025-02-01 00:03:13,125,31.7,5.98
2025-02-01 00:03:15,132,16.3,3.74
2025-02-01 00:03:15,230,12.8,2.22
2025-02-01 00:03:15,158,7.31,0.76
2025-02-01 00:03:16,158,11.4,1.48
2025-02-01 00:03:17,231,12.1,1.58
2025-02-01 00:03:19,249,16.84,2.5
2025-02-01 00:03:19,79,21.95,3.37
2025-02-01 00:03:21,164,10.7,1.66
2025-02-01 00:03:22,148,24.0,4.74
2025-02-01 00:03:22,79,15.98,1.97
2025-02-01 00:03:23,249,6.5,0.76
2025-02-01 00:03:23,164,19.8,4.0
2025-02-01 00:03:23,162,13.5,2.59
2025-02-01 00:03:24,24,23.3,4.14
2025-02-01 00:03:24,234,7.9,1.06
2025-02-01 00:03:25,138,32.4,8.14
2025-02-01 00:03:25,144,15.47,2.15
2025-02-01 00:03:26,50,12.8,2.11
2025-02-01 00:03:26,137,18.83,4.55
2025-02-01 00:03:26,230,24.71,3.73
2025-02-01 00:03:27,137,7.93,1.23
2025-02-01 00:03:27,107,24.7,4.5
2025-02-01 00:03:28,90,5.8,0.6
2025-02-01 00:03:28,4,21.55,2.56
2025-02-01 00:03:28,107,11.05,1.48
2025-02-01 00:03:28,90,27.5,4.54
2025-02-01 00:03:29,229,3.7,0.2
2025-02-01 00:03:29,229,9.3,1.45
2025-02-01 00:03:30,161,24.75,4.37
2025-02-01 00:03:30,237,5.8,0.5
2025-02-01 00:03:30,246,7.9,1.4
2025-02-01 00:03:31,100,17.0,3.4
2025-02-01 00:03:31,233,7.2,1.19
2025-02-01 00:03:32,163,17.0,2.3
2025-02-01 00:03:32,79,7.9,1.03
2025-02-01 00:03:32,90,10.0,1.2
2025-02-01 00:03:32,233,7.6,1.43
2025-02-01 00:03:33,113,10.0,0.96
2025-02-01 00:03:33,170,17.7,2.93
2025-02-01 00:03:33,161,13.32,2.48
2025-02-01 00:03:33,107,12.1,1.9
2025-02-01 00:03:34,249,18.09,2.15
2025-02-01 00:03:34,48,8.28,1.68
2025-02-01 00:03:34,170,10.0,1.8
2025-02-01 00:03:35,263,11.0,1.9
2025-02-01 00:03:35,87,17.15,2.32
2025-02-01 00:03:36,48,7.9,0.86
2025-02-01 00:03:36,79,6.5,0.9
2025-02-01 00:03:37,90,17.0,3.41
2025-02-01 00:03:38,143,16.3,3.3
2025-02-01 00:03:38,164,9.5,1.29
2025-02-01 00:03:39,239,12.24,1.81
2025-02-01 00:03:40,229,120.0,18.18
